movie,daily earnings,theatres,earnings_per_theatre
'71,1270847.0,3681.0,345.2450421081228
'83,4055672.0,8605.0,471.31574665891924
'85: The Greatest Team in Football History,124573.0,236.0,527.8516949152543
10 Cloverfield Lane,72082998.0,117138.0,615.368181119705
10.000 Km,12423.0,77.0,161.33766233766235
102 Not Out,1343797.0,2562.0,524.5109289617486
10x10,2263.0,70.0,32.32857142857143
12 Strong,45500164.0,88991.0,511.28950118551313
12 Years a Slave,56634802.0,110810.0,511.09829437776375
120 BPM,122704.0,737.0,166.49118046132972
13 Fanboy,10674.0,154.0,69.31168831168831
13 Hours,52853219.0,87661.0,602.9274021514699
13 Sins,13809.0,315.0,43.838095238095235
"14 Days, 12 Nights",122530.0,133.0,921.2781954887218
16 Bars,10985.0,53.0,207.26415094339623
1898: Our Last Men in the Philippines,2848.0,70.0,40.68571428571428
1917,159227644.0,195196.0,815.7321051660895
1945,2380.0,9.0,264.44444444444446
1982,43272.0,149.0,290.4161073825503
1991,2342264.0,4108.0,570.1713729308666
2 Guns,75612460.0,107869.0,700.9656157005256
2 Hearts,1349645.0,34015.0,39.67793620461561
2 States,2238174.0,3241.0,690.5813020672632
2.0,3222000.0,2198.0,1465.8780709736125
2000 Mules,1465512.0,6650.0,220.37774436090226
2001: A Space Odyssey,1283820.0,348.0,3689.137931034483
20th Century Women,5664764.0,14358.0,394.53712216186096
21 & Over,25682380.0,70252.0,365.57507259579796
21 Bridges,28539757.0,73783.0,386.806676334657
22 Jump Street,191293726.0,155619.0,1229.244025472468
2nd Chance,18523.0,357.0,51.88515406162465
3 Days to Kill,30697999.0,78855.0,389.29679792023336
3 Generations,155936.0,379.0,411.44063324538257
3 Hearts,37576.0,263.0,142.8745247148289
3 Idiots,1249233.0,5502.0,227.0507088331516
3 from Hell,1809226.0,2001.0,904.1609195402299
30 Years of Garbage: The Garbage Pail Kids Story,427.0,2.0,213.5
300: Rise of an Empire,106580051.0,111776.0,953.5146274692241
350 Days - Legends. Champions. Survivors,47526.0,341.0,139.3724340175953
4 Days in France,12127.0,36.0,336.8611111111111
42,95020213.0,149919.0,633.810344252563
42nd Street: The Musical,187440.0,515.0,363.9611650485437
47 Meters Down,44307191.0,85832.0,516.2083022648895
47 Meters Down: Uncaged,22260900.0,72309.0,307.85794299464794
47 Ronin,38362475.0,57834.0,663.3204516374451
5 Flights Up,1020921.0,3199.0,319.1375429821819
50 to 1,1019363.0,4268.0,238.83856607310216
5B,72968.0,994.0,73.40845070422536
65,32062904.0,87724.0,365.49751493319957
7 Days in Entebbe,3189220.0,11718.0,272.16419184161117
7 Witches,402.0,2.0,201.0
80 for Brady,39330588.0,107779.0,364.91884318837623
9/11,170000.0,1275.0,133.33333333333334
90 Minutes in Heaven,4791548.0,17298.0,277.00011562030295
99 Homes,746734.0,2130.0,350.5793427230047
A Aa,2313043.0,1700.0,1360.6135294117646
A Bad Moms Christmas,72110659.0,136674.0,527.6106574769159
A Bag of Marbles,7420.0,11.0,674.5454545454545
A Banquet,4167.0,231.0,18.038961038961038
A Beautiful Day in the Neighborhood,61692037.0,125367.0,492.09151531104675
A Beautiful Planet,70163.0,68.0,1031.8088235294117
A Bigger Splash,1904855.0,5723.0,332.84204088764636
A Boy Called Po,4550.0,70.0,65.0
A Boy. A Girl. A Dream.,8626.0,61.0,141.40983606557376
A Breath Away,77987.0,351.0,222.1851851851852
A Brilliant Young Mind,89946.0,129.0,697.2558139534884
A Brother's Love,539524.0,1411.0,382.3699503897945
A Call to Spy,151525.0,1967.0,77.03355363497712
A Chance in the World,112007.0,497.0,225.3661971830986
A Chiara,41925.0,441.0,95.06802721088435
A Christmas Story,35000.0,450.0,77.77777777777777
A Cop,43946.0,29.0,1515.3793103448277
A Cure for Wellness,8077739.0,38472.0,209.96410376377625
A Difficult Life,71629.0,151.0,474.36423841059604
A Dog's Journey,22546590.0,67937.0,331.87497240090084
A Dog's Purpose,64321890.0,126147.0,509.89631144616993
A Dog's Way Home,41952715.0,111935.0,374.79532764550856
A Fantastic Woman,21724.0,29.0,749.1034482758621
A Father's Heart,447912.0,1063.0,421.3659454374412
A Fish in the Bathtub,1826.0,9.0,202.88888888888889
A Gentleman,410055.0,1974.0,207.72796352583586
A Ghost Story,1546766.0,4978.0,310.720369626356
A Girl Like Grace,713.0,28.0,25.464285714285715
A Good Day to Die Hard,67349198.0,101927.0,660.7591511572008
A Good Person,2210465.0,11207.0,197.2396716338003
A Grin Without A Cat,4643.0,10.0,464.3
A Haunted House,40041683.0,66153.0,605.2889967197254
A Haunted House 2,17329486.0,47628.0,363.85080204921474
A Haunting in Venice,42471412.0,119385.0,355.751660593877
A Hidden Life,1730597.0,4336.0,399.12292435424354
A Hologram for the King,4212494.0,13482.0,312.45319685506604
A Journal for Jordan,6545174.0,54746.0,119.55529171080993
A Kid Like Jake,33827.0,166.0,203.77710843373495
A Kind of Loving,3278.0,3.0,1092.6666666666667
A Kind of Murder,202.0,3.0,67.33333333333333
A Late Quartet,281583.0,958.0,293.9279749478079
A Lego Brickumentary,84649.0,720.0,117.56805555555556
A Letter to Momo,70836.0,247.0,286.78542510121457
A Little Chaos,558173.0,1757.0,317.68525896414343
A Long Way Off,3106.0,19.0,163.47368421052633
A Love Song,278889.0,2338.0,119.28528656971771
A Madea Christmas,52543354.0,65655.0,800.2947833371411
A Madea Family Funeral,73257045.0,93660.0,782.1593529788597
A Man Called Otto,64267657.0,164166.0,391.47970347087704
A Man Vanishes,1492.0,6.0,248.66666666666666
A Million Ways to Die in the West,42720965.0,76758.0,556.5669376481931
A Monster Calls,3740823.0,21602.0,173.1702157207666
A Most Wanted Man,17237388.0,31969.0,539.190716006131
A Mouthful of Air,269435.0,10773.0,25.010210711965097
A New Old Play,9026.0,18.0,501.44444444444446
A Prayer Before Dawn,14453.0,39.0,370.5897435897436
A Private War,1633208.0,9135.0,178.7857690202518
A Question of Faith,2587072.0,12308.0,210.19434514137146
A Quiet Place,188024361.0,198149.0,948.903910693468
A Quiet Place Part II,160072261.0,196958.0,812.7228190781791
A Resurrection,7300.0,51.0,143.13725490196077
A Royal Night Out,228136.0,1828.0,124.80087527352298
A Secret Promise,39493.0,7.0,5641.857142857143
A Silent Voice: The Movie,484126.0,1962.0,246.75127420998982
A Simple Favor,53548586.0,99165.0,539.9948167196087
A Star Is Born,213938866.0,254081.0,842.010484845384
A Tale of Love and Darkness,572212.0,1603.0,356.96319401122895
A Taxi Driver,42797.0,31.0,1380.5483870967741
A Thousand and One,3400020.0,14189.0,239.62365212488547
A Tuba to Cuba,6217.0,9.0,690.7777777777778
A United Kingdom,3803698.0,9408.0,404.3046343537415
A Walk Among the Tombstones,26017685.0,58576.0,444.16971114449603
A Walk in the Woods,28593964.0,59610.0,479.6840127495387
A Wizard's Tale,2150.0,70.0,30.714285714285715
A Wrinkle in Time,100478608.0,147322.0,682.033966413706
A Writer's Odyssey,135144.0,1228.0,110.05211726384364
A Zombie Invasion,1170.0,1.0,1170.0
A la mala,3629842.0,8624.0,420.90004638218926
A-X-L,6499982.0,29975.0,216.84677231025856
A.C.O.D.,123368.0,291.0,423.9450171821306
ABCD (Any Body Can Dance),222098.0,404.0,549.7475247524752
Aatsinki: The Story of Arctic Cowboys,6601.0,21.0,314.3333333333333
Abandoned,96761.0,378.0,255.9814814814815
Abominable,60826390.0,138692.0,438.571727280593
About Fate,8688.0,91.0,95.47252747252747
About Hope,10814.0,0.0,inf
About Last Night,48556825.0,58565.0,829.1099632886536
About My Father,12089391.0,45990.0,262.8699934768428
About Time,15322921.0,30352.0,504.8405706378492
Above and Beyond: NASA's Journey to Tomorrow,74711.0,754.0,99.08620689655173
Abracadabra,13975.0,104.0,134.375
Absolutely Fabulous: The Movie,4678295.0,7525.0,621.7003322259136
Accident,17160.0,18.0,953.3333333333334
Acharya,832000.0,396.0,2101.010101010101
Acrimony,43549096.0,55461.0,785.2201727339933
Across the Universe,258618.0,1212.0,213.38118811881188
Action Point,5059608.0,28448.0,177.85461192350957
Active Measures,14206.0,11.0,1291.4545454545455
Ad Astra,50188370.0,92521.0,542.453821294625
Addicted,17390770.0,27427.0,634.0748167863784
Admission,18007317.0,54858.0,328.2532538554085
Adrift,31445011.0,70364.0,446.89061167642546
Adult Beginners,104808.0,753.0,139.18725099601593
Ae Dil Hai Mushkil,4264983.0,5632.0,757.2768110795455
Afflicted,121179.0,410.0,295.55853658536586
After,12138565.0,37233.0,326.01630274219104
After Death,11460826.0,50785.0,225.67344688392242
After Earth,60180759.0,80615.0,746.5206103082553
After Ever Happy,1072750.0,2850.0,376.4035087719298
After Parkland,30444.0,71.0,428.7887323943662
After We Collided,734210.0,10740.0,68.36219739292365
After We Fell,2170750.0,8125.0,267.16923076923075
After Yang,46872.0,72.0,651.0
After the Ball,161820.0,681.0,237.62114537444933
Aftermath,3451.0,13.0,265.46153846153845
Afternoon Delight,129715.0,236.0,549.6398305084746
Afternoon of a Faun: Tanaquil Le Clercq,330.0,1.0,330.0
Aftersun,1658791.0,5382.0,308.21088814567076
Ailey,188512.0,1757.0,107.2919749573136
Air,52460106.0,121618.0,431.3514940222664
Akira,219401.0,854.0,256.90983606557376
Aladdin,355559216.0,249321.0,1426.1101792468344
Alex Cross,18924.0,231.0,81.92207792207792
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",63577853.0,118313.0,537.3699677972835
Ali & Ava,43358.0,497.0,87.2394366197183
Alice,373043.0,2268.0,164.4810405643739
Alice Through the Looking Glass,77041381.0,96236.0,800.5463755767073
"Alice, Darling",101000.0,195.0,517.9487179487179
Alien,968658.0,4929.0,196.52221545952526
Alien Intrusion: Unmasking a Deception,237411.0,727.0,326.5625859697387
Alien: Covenant,74249538.0,94556.0,785.2440670079106
Aline,667574.0,3218.0,207.44996892479801
Alita: Battle Angel,85838210.0,130121.0,659.6799133114563
