MovieTitle,YouTube Video Title,YouTube Video ID,Views,Likes,Comments,Top 10 Comments
'71,&#39;71 Official Trailer #1 (2015) - Jack O&#39;Connell War Movie HD,J-BaKfl1Ms4,1808230,5232,538,"Jack o' Connell is quickly becoming that actor that when I see his name in a film I'm immediately interested. He's such an intense actor. I see him reaching the heights Leonardo Dicaprio and Tom Hardy one day, if not surpassing them.|, I loved this movie when I first saw it a few years ago. I thought it was one of the better movies I’ve ever seen. I just recently returned from visiting Ireland and Northern Ireland for the first time. We spent a couple of days each in Derry and Belfast. I have never had such an indescribable feeling in my life as I did at the Peace Wall in Belfast. I can assure you it wasn’t a feeling of serenity.|, As a foreigner who's rather unfamiliar with the history, this film just makes me feel the way most war theme films do: there's no winner in such conflicts. Instead of focusing on obvious cheering for hero or blaming on certain evil, making sure not to repeat too much of the sad past is more important in my opinion.|, This movie is an intense take on a soldier who gets caught in a conflict which he doesn't have any stake in other than staying alive.  Some great performances in this powerful film.  Certainly O'Connell does a stellar job, but to me Sean Harris steals the show.|, A powerful film. Yann Demange' directing is immaculate and Jack O'Connell is a class act.|, I'm so proud of Jack O'Connell :') he has come along way since Skins 👏👏👏|, It was such an amazing movie and beautiful surprise! It sheds a lot of light on a struggle that many Americans are uninformed about or completely oblivious to.|, Watched this last night, completely overlooked film, Jack o'connell's acting was incredible.|, The fact he did this at 24 and unbroken at 23, both amazing performances 👏🏾|, I am from Northern Ireland, and this is the realest depiction I have seen of that time, even the slang and insults are the kind used here. It was hard to watch, and it totally brought me back to that awful time in our history, but well worth the watch, and well made."
10 Cloverfield Lane,"10 Cloverfield Lane Official Trailer #1 (2016) -  Mary Elizabeth Winstead, John Goodman Movie HD",saHzng8fxLs,11549803,44246,6538,"Just saw this gem. You gotta love John Goodman, especially if you're a 90s kid.|, Honestly, I think this is one of my favourite trailers of all time. The music and the change in theme just fits so perfectly. Also, it somehow tells you a lot even though it gives you very little. I remember seeing people theorizing about what was going on when the trailer first came out and some people were actually pretty spot on.|, Am I the only person that loved the ending? It wasn't ""out of place"" (as so many have said) but it really turned the tables from the typical happy endings movies always get.|, I really love this trailer. It got me so hyped for a psychological thrower, and it barely spoiled any of the plot or the twists. It's a shame the ending sort of dragged, but this trailer is a perfect example of how you build intrigue without showing the whole movie.|, Not only was this film extremely intense, but it added a bit of psychological thriller in there. And I loved it.|, This movie is an absolute gem when you're both a victim of domestic abuse and at the same time love horror.|, I love how it implies two very different tones. Either John Goodman is trying desperately to help them or they're trying desperately to get away from him.|, I LOVE this movie. I can't even BEGIN to describe how much I love this movie! I don't care if people didn't like the ending, I loved it from beginning to end without thinking anything else in the theater, other than trying to solve the mysteries of 10 Cloverfield Lane. I love it.|, This is the first movie I've watched in ages where there was no guessing what was going to happen next. It twists and turns like a sneaky motherfucker. Excellent movie!|, This could honestly be the best trailer ever.

It takes you on such a small, powerful, self-contained journey that makes you want to see the movie without spoiling the whole thing."
10x10,"10X10 Official Trailer (2018) Luke Evans, Kelly Reilly Movie HD",zV1eUEPEPPM,868257,1690,156,"jesus... Luke evans. I really hope he gets other acting gigs, for a moment there i thought this was a sequel or a prequel to No One Lives. it doesn't appear to be. but damn... he just has that intensity. i doubt it'll be as good as that one was, but i'll check it out none the less!|, Now that we know the ending it makes not seeing this much easier.|, The fights in this movie were hilarious.|, فيلم اثارة وغموض رائع وجميل

مع كل الشكر والتقدير : للمترجم|, Great 🎥 great actors great story! A lot of suspans,it's kind of the movies u just dont wanna finish|, Beyond showing off the entire movie right away, the kidnapper goes ""I've been following you, I know everything about you"" one minute, to ""you should go to the police"" the next."" I don’t know what the context is, but as a kidnapper, if you're suddenly afraid of the law and the person you kidnapped, shouldn't you just kill them? Like, you already broke the law, and now you have a psycho in a concrete chamber in YOUR house?|, Topher Grace would have been a better and believable casting.|, 这部小作品很有意思，前半截对女主角的正面刻画很好。女主也是很好看，beauty.有意思的是，导演是女性。我喜欢这个导演|, I have just seen the entire plot for the movie, why would i watch this? Trailers these days are basically a 2 minute version of a movie, instead of a sneak peek leaving out the best parts|, This was a really good movie.."
12 Strong,12 STRONG - Official Trailer,-Denciie5oA,18053617,120913,6949,"The movie could have ended earlier if he brought his Hammer to fight|, Truly one of the most stunning military accomplishments in history. The actions of ODA 595 and Dostum’s fighters deserve to be in the history books and into legend. When only 12 American SF operators and roughly 200 Northern Alliance fighters took on nearly 15,000 Taliban fighters on an offensive campaign to take out one of the major Taliban strongholds in Northern Afghanistan. 

These men, outnumbered and outgunned, took on numerical superior Taliban that were armed with artillery and tanks with only horses and limited air support. Truly one of the most underrated  and extraordinary accomplishment in modern warfare.|, Can't wait to see this. Its about time the Horse Soldiers story was told! What that ODA did was nothing short of amazing. It does look a bit hollywood but I hope the movie itself is a little more grounded! I got to hold some of the props recently and the gear IS ACCURATE as hell to the time period. Funny how this is now considered a period piece because we've been at war so long. We don't even use half of that gear anymore. SPEAR vests! so dope!|, Just remember this was a true story that all 12 made it back.Thirteen U.S. service members tragically lost their lives to a suicide bomber in the rushed and chaotic evacuation in 2021. Thank you to all of our brave men and woman who faught in Afghanistan. Vote.|, The horse jumping back up at the end of the trailer and in the movie gives me chills every time!|, I remember reading Horse Soldiers as a kid with immense admiration. now I see my brother performing it well; it's just icing on the cake 🤣😆😄😄😄|, After seeing it I must say that I'm pleasantly surprised how well done this film is in the sea of familiar generic our balls are made of steel movies.
Don't get me wrong there are issues and some cliched stuff, but I thought they tried to avoid regular tropes by focusing more on the characters and their interaction with the natives plus trying to understand the culture and the rules of civilization rather than bringing up patriotism every once a while. There are some really well choreographed action pieces, acting is fine and the script is not annoying as it could be, but it is overlong, repetitive and over the top so that might bother some people. Overall 3/5.|, This looks fantastic. I remember hearing about them riding horses to battle, that’s bad ass. I’m pretty sure one of the green berets breaks his back but continues in the fight.|, ""The Only Easy Day Was Yesterday""...
Honoring all our fallen soldiers, and remembering Operation Red Wings 6/28/05 gone but not forgotten. 
Semper Fi 🇺🇲|, I enjoy military movies based on a true story. This is in my archives alongside Lone survivor, Unbroken, American Sniper, 13 Hours: The Secret Soldiers of Benghazi. Others you would enjoy equally are: Shooter, Close, Tears of Sun and Triple Frontier."
12 Years a Slave,12 YEARS A SLAVE - Official Trailer (HD),z02Ie8wKKRg,8396503,39660,4485,"This movie was one of the most moving, emotional films I have ever seen. It's been years since I last watched it and this trailer still gives me chills. 
It breaks my heart to know how cruel people can be. To keep other humans as your property, because of the colour of their skin. The worst part; slavery still exists in some parts of the world.|, ""I don't want to survive, I want to live"" That part always gets me.|, The acting in this film is insanely good.|, It's amazing that Solomon's story is being heard 165 years later. This movie had me in tears. I'm so heartbroken for what black people had to go through and so sorry for the horrible treatment they had to endure. I pray for the healing of those that are affected by the history and the way black people were treated. Much love and respect goes out to the beautiful black race.|, i still get goosebumps when i watch this movie, its incredible|, First heard about this movie in 2014, a lot of people were talking about it and I heard about how good it was and how tragic it was, and I tend to care about social issues so I wanted to watch it. This movie is heart breaking, and I absolutely love how it doesn't romanticize any of the abuse that was suffered in it.|, A lot of people really don't understand how bad American slavery was. This wasn't regular old world slavery, this was chattel slavery, you were born a slave, you died a slave, your children died slaves, and your children's children died slaves. You could never hope to be anything but a slave. We have never come to terms with our demons as a country. Slavery lasted 245 years officially, and after all was said and done, slaves and children of slaves never got any kind of mental help (and go figure, mental health became a huge taboo in the AA community), no official apology, and not even a single day of recognition for their suffering. It was like America just wanted to make it all go away as a country, ignore it, change the subject, and now we are paying the price of our actions. |, I was glad to see that this movie won an Oscar for best picture. It's very powerful and important for everyone to see. It sucks how most people don't understand anything about slavery like it's a no big deal. I think everyone needs to see it, so they'll know how brutal and severe slavery was. Who knows. Maybe racism will die down. Overall, perfect movie.|, Just the trailer had me in tears because of the vicious cruelty but also because of Northup indomitable spirit.  There is joy for his escape, but magnifies the horror of the other slaves left behind.|, One of the most heart-wrenching films ever! It was definitely difficult for me to watch, but it’s worth it. I absolutely love history! The acting was insanely beautiful!"
13 Sins,13 Sins Official Trailer 1 (2014) - Mark Webber Horror Thriller Movie HD,vTNtyJIKTXk,1399792,2947,262,"i loved this movie. it's like a morbid social experiment. though i think there was room for much more development. i feel like keeping the reveals a mystery was a safe move, but if they could pull it off it would blow minds into a new dimension.|, Mark Webber is a good actor !❤️
I ABSOLUTELY LOVE THIS MOVIE|, I watched this on FOX Action. I was walking through my dad's room and this started to play, I literally made my way onto his bed and watched the entire movie. It was so good! I love it!|, This was such an awesome movie. I'm so glad I saw it. Go watch it yourself, don't read the critic's reviews. It really is that good.|, 5 stars, great CRAZY and original plot, perfect acting.|, I watched this last night.  Great movie but really hard to watch at times, just because of the sheer horror you know is about to happen to him.|, Saw this on Netflix--we really liked it. It was pretty imaginative, had some humor, suspenseful.|, Great movie I really recommend it! Ignore all those dislikes, they came from people who just criticize everything.|, Saw this on 'Horror' a month or so back - was pleasantly impressed with it considering the usual array of cliched and negative critical reviews. Well worth a watch!! 😉 🤓|, bad ass movie. thriller and horror
would def recommend it to anyone looking for something new"
1917,1917 | The Battlefield Run in 4K HDR,WYCo-3pw52o,2619948,43798,2368,"what I really love about this scene is when he is running down no-man's-land, the camera doesn't follow Schofield. It feels like Schofield is chasing after the camera losing and gaining ground. The cinematography in this movie is outstanding!|, I'm no film expert, but this has got to be one of the all time greatest shots in cinematic history.|, 6:50 the way he freezes and feels all of his ego go down the drain in an instant once he hears ""the germans planned for this"" was amazing.  thats phenomenal acting.  you can feel his emotion without seeing his face or any spoken dialogue.|, When I found out him falling down while running wasn’t scripted, but they still kept it in, 10/10|, I think that the guy falling and not getting up could also be realistic. These guys are basically marching to their deaths so if I even remotely felt an impact in that kind of panicked situation I might stay down.|, His only “rest” during the entire journey was when he went unconscious, ran for his life to avoid enemy fire, jumped into a river without knowing the consequences and ran into a open battlefield to complete the mission. A true soldier that stood to finish the fight no matter what happens. Epic movie.|, Love how they put lesser known celebrities as the main characters while the most known celebrities are just side characters that only appears in short amount of time to surprise the audience.|, It's absolutely insane that people did that run in real life, made it to the other side, and fought tooth and nail to the bitter end. Each wave attack usually only lasted about 10 minutes before the wave was either destroyed or the trench was captured.|, Love the subtle start of the soundtrack when the soldier says ""We're the Devons."" It's really brilliant and it almost symbolizes the sudden gain of hope in Schofield as he really thought he had failed to save the lives of 1600 men only to find those men still alive.|, Just couldn't imagine going out into a open field running towards the enemy while bombs are falling all around you it just show how much bravery those soldiers had"
2 Guns,2 GUNS - Official International Trailer,AK6EbfdnTHg,2009186,7074,262,"I can't tell you how good this movie was! Now I gotta watch it over cause it was that amazing. Denzel and Mark had great chemistry!|, When you only watching the first 40 seconds of a trailer and stop it because you already know it’s going to be a good movie ! 💯|, My kind of movie. Action, Comedy and a teaspoon of romance and two badass actors. THUMPS UP|, This was a great one right here! Denzel and Whalberg together was simply magic. This is the true modern Lethal Weapon on the real.|, When is the sequel coming!?!?
If there was ever a movie that deserves a sequel it is this one.|, This movie was very entertaining! Two great actors with great chemistry. Definitely a must watch!|, I seen this movie 10 years ago today and honestly don't remember watching it so I'll get to watch it for the first time again!|, One of best movies ever :) denzel and mark is awesome :)|, Amazing! I'm glad that I've watched the movie AGAIN!  Denzel Washington, is the GREAT !	Mark Wahlberg is funny AND the script was cool!|, Świetny Aktorski Duet 👌💥🔥⭐️"
2 States,"Mast Magan FULL Video Song | 2 States | Arijit Singh | Arjun Kapoor, Alia Bhatt",xitd9mEZIHk,69704646,734349,10500,"I love this song n this movie too|, Arijit Singh doesn't realize this but he is making everyone's life better through his soulful, melodious voice ❤️|, 8 years had passed but the feelings of this song is not changed yet Arijit Singh is a real gem indeed ☺❤|, 8 years gone .....and this song is still so refreshing....... underrated but masterpiece...... whenever I listen this song nostalgia hits ❣️|, Not a song is only Masterpiece,The Singer Means Arijit Singh is Masterpiece 😎🔥|, 10 years in a blink, still a masterpiece ❤|, I am a Tamil guy, and my wife is a North Indian. After our masters, we both received job offers from Chennai. Just before our marriage I happened to stay at my in-laws place when I visited Mumbai on a project, while she stayed at my house in Chennai. After 3 yrs, when the movie got released it was so much nostalgic. Now we are blessed with a baby... Life's beautiful !!|, This period of bollywood music will be missed for a long time...|, With Arijit Da Voice Masterpiece becomes Infinite❤️🙏|, This song is always gonna be in  my playlist 💘"
2.0,Kaifi Khalil - Kahani Suno 2.0 [Official Music Video],_XBVWlI8TsQ,371346055,5508967,117945,"I know this is really related but ....

LOVE YOU ALL|, Feel The Pain💔 Behind The Words 🥺...!!! 

Incredible ⚡|, It’s 3 am everyone is asleep, it’s so quiet and I’m running outside and looking at the stars listening to Kahani Suno. Magical feeling :)|, No show off, no embarrassing dance, no short dressed girl, no luxury cars, nothing.. Just pure talent ❤|, L=lake of tears
O=OCEAN OF PAINS
V=valley of sadness
E=END OF HAPPINES|, This song isn't written with Pen ✍ it's been written with Pain 💔|, No show off, no vulgarity, no nudity, no embarrassing dance, no short dressed girl, no luxury cars , nothing.. Just pure talent♥️|, No show off, no vulgarity, no nudity, no embarrassing dance, no short dressed girl, no luxury cars , nothing.. Just pure talent|, No nudity, no kiss, no sexy dresses, not even single girl..
Masterpiece ❤|, Played it at 2 A.M. on loud speaker full vol My neighbours liked it so much that they threw stones at my window to hear it clearly."
